JK대분류,JK중분류,매핑 O*NET 직업명,Top3,현실형(R) T,탐구형(I) T,예술형(A) T,사회형(S) T,진취형(E) T,관습형(C) T,전공필수,통합_직무정의
AI·개발·데이터,AI/ML엔지니어,소프트웨어 개발자; 데이터 사이언티스트,ICR,47.2,70.2,51.1,41.1,38.9,55.6,X,"인공지능 모델 학습이란 인공지능 문제를 해결하기 위하여 준비된 모델을 학습시키고 그 결과를 검증하는 능력이다.
 인공지능 모델 문제 정의란 인공지능 서비스를 위한 모델링 목표를 설정하고 요구사항을 분석하여 해결 가능한 인공지능 후보 모델을 도출하는 능력이다.
 인공지능 모델 활용 관리란 선정된 모델의 구성요소, 배포를 관리하고 서비스에 적용된 모델의 성능을 관리하여 개선하는 능력이다.
 인공지능 데이터 품질 검증이란 데이터 품질 기준을 정의, 품질 검증 프로세스 수립을 통해 인공지능 품질을 개선하는 능력이다.
 인공지능 데이터 확보란 인공지능 모델에 필요한 데이터 수집 방안을 계획하고, 계획된 방안대로 데이터를 수집하고 증강하는 능력이다.
 인공지능모델 준비란 도출된 후보 모델을 기반으로 세부적인 모델을 설계하고 검증하는 능력이다.
 인공지능 모델 선정이란 인공지능 최적화를 위하여 평가기준을 결정하고, 모델 선정 기준을 결정한 뒤, 이해당사자의 피드백을 고려하여 최적의 모델을 선정하는 능력이다.
 인공지능 데이터 특징 추출이란 모델의 성능을 높이기 위하여 도메인 지식을 활용하여 객체의 특징을 발견하고 학습에 필요한 주요 특징을 선택하는 능력이다.
 인공지능 데이터 전처리란 인공지능 서비스를 위하여 확보된 데이터를 정제, 변환, 통합, 축소, 라벨링, 비식별화를 통해 데이터를 가공하는 능력이다."
AI·개발·데이터,AI/ML연구원,컴퓨터 및 정보과학 연구원; 데이터 사이언티스트,ICR,47.3,73.9,53.1,41.7,40.5,52.3,O,"인공지능 모델 학습이란 인공지능 문제를 해결하기 위하여 준비된 모델을 학습시키고 그 결과를 검증하는 능력이다.
 인공지능 모델 문제 정의란 인공지능 서비스를 위한 모델링 목표를 설정하고 요구사항을 분석하여 해결 가능한 인공지능 후보 모델을 도출하는 능력이다.
 인공지능 모델 활용 관리란 선정된 모델의 구성요소, 배포를 관리하고 서비스에 적용된 모델의 성능을 관리하여 개선하는 능력이다.
 인공지능 데이터 품질 검증이란 데이터 품질 기준을 정의, 품질 검증 프로세스 수립을 통해 인공지능 품질을 개선하는 능력이다.
 인공지능 데이터 확보란 인공지능 모델에 필요한 데이터 수집 방안을 계획하고, 계획된 방안대로 데이터를 수집하고 증강하는 능력이다.
 인공지능모델 준비란 도출된 후보 모델을 기반으로 세부적인 모델을 설계하고 검증하는 능력이다.
 인공지능 모델 선정이란 인공지능 최적화를 위하여 평가기준을 결정하고, 모델 선정 기준을 결정한 뒤, 이해당사자의 피드백을 고려하여 최적의 모델을 선정하는 능력이다.
 인공지능 데이터 특징 추출이란 모델의 성능을 높이기 위하여 도메인 지식을 활용하여 객체의 특징을 발견하고 학습에 필요한 주요 특징을 선택하는 능력이다.
 인공지능 데이터 전처리란 인공지능 서비스를 위하여 확보된 데이터를 정제, 변환, 통합, 축소, 라벨링, 비식별화를 통해 데이터를 가공하는 능력이다."
AI·개발·데이터,AI보안전문가,정보보안 분석가; 정보보안 엔지니어,CIR,52.0,64.0,43.9,42.3,44.5,62.2,X,"개인정보보호 운영이란 개인정보보호 정책이 현장에서 이행되는 지를 점검하고, 개인정보 침해사고 발생 시 사고원인을 분석하고 대응하며, 개인정보보호 정책을 교육하는 능력이다.
 개인정보보호 기획이란 개인정보보호에 필요한 정책과 제도를 수립하고, 법과 정책을 준수하기 위한 개인정보보호 관리계획을 수립하고 실행결과를 점검하는 능력이다.
 정보보호 정책 기획이란 조직이 수행하는 모든 정보보호 활동의 근거를 포함하고 국가나 관련 산업에서 정하는 정보보호 관련 법, 규제를 만족하는 정보보호 정책을 수립, 배포하고 필요에 따라 제정 및 개정 등을 수행하는 능력이다.
 보안 위험관리란 자산 식별, 위협 및 취약점 분석, 위험 평가를 수행하기 위하여 계획을 수립 및 실행하고, 제한된 자원 내에서 필요한 통제방안을 선택함으로써 위험을 관리하는 능력이다.
 정보보호 계획 수립이란 정보보호 정책에 따라 정보보호의 목표와 대상 범위를 설정하고 자원계획을 포함하는 관리적, 물리적, 기술적 보안 대책에 대한 실행 계획을 수립하는 능력이다.
 네트워크 보안 운영이란 정의된 보안요구사항에 따라 네트워크 보안 솔루션을 운영하고 개선하며, 새로운 보안 위협에 대응하는 능력이다.
 보안성 검토란 정보통신망의 신설 또는 증설, 정보서비스 개발 등 정보화 사업에 대하여 사전에 조직의 보안위협 요소를 도출하고, 이를 제거하거나 경감하기 위한 보안대책을 수립하고 이행하여 보안위험을 최소화하는 능력이다.
 내부 보안 감사 수행이란 조직의 보안과 관련된 통제절차의 기록과 행동을 객관적, 독립적으로 조사하고 관련 증거를 수집하여 분석함으로써 주요 정보자산의 기밀성, 무결성, 가용성, 관리의 적정성을 점검하는 능력이다.
 애플리케이션 보안 운영이란 정의된 보안요구사항에 따라 애플리케이션 보안 시스템을 운영하고, 개선하며, 새로운 보안 위협에 대응하는 능력이다.
 개인정보보호 거버넌스 구현이란 조직의 설립목적 달성을 위해 개인정보보호를 경영리스크로 인식하고, 고객의 개인정보보호를 위한 전략을 수립하고, 개인정보보호를 위한 자원을 확보하며 전략의 성과를 검토하고 관리하는 능력이다.
 관리적 보안 운영이란 정보보호 정책 준수를 위한 인식제고 및 교육훈련 프로그램을 수행하고, 보안정책이 현장에서 이행되는 지를 점검하고, 침해사고 발생 시 원인을 분석하고 대응하는 능력이다.
 정보보호 거버넌스 구현이란 조직의 설립목적 달성을 위해 정보보호를 경영리스크로 인식하고, 경영진 및 이해관계자의 정보보호 역할과 책임을 부여하고, 정보보호 전략 및 의사결정체계를 수립하고, 정보보호를 위한 자원을 확보하며 정보보호의 성과를 검토하고 관리하는 능력이다.
 보안 장비 운용이란 보안시스템 지식을 토대로 보안시스템을 운용하고 관리하는 능력이다.
 협력사 보안 관리란 협력체계를 수립하기 전 또는 협력체계를 운영하면서 발생될 수 있는 전반적인 보안 이슈를 식별하고 대응하기 위하여 협력사 보안 정책을 수립하고 보안 운영이 적절하게 수행되고 있는지 관리하는 능력이다.
 물리 보안 운영이란 사람, 물품, 차량, 천재지변  등 물리적 위협수단으로부터 시설을 안전하게 보호하기 위하여 물리 보안솔루션을 운영 및 개선하고 대응하는 능력이다.
 시스템 보안 운영이란 정의된 보안요구사항에 따라 시스템 보안 솔루션을 운영 및 개선하며, 시스템의 보안 신규 위협을 대응하고 시스템 보안솔루션의 업데이트를 적용하는 능력이다."
AI·개발·데이터,AI서비스개발자,소프트웨어 개발자; 데이터 사이언티스트,ICR,47.2,70.2,51.1,41.1,38.9,55.6,X,"인공지능서비스 이행이란 인공지능서비스를 실제 운영환경으로 이행하기 위한 계획을 수립하여 운영환경을 구축하고, 인수테스트를 통해 고객에게 제공하는 능력이다.
 인공지능서비스 자원구성이란 인공지능서비스 설계 결과에 따른 필요자원 분석을 통해 인공지능서비스 구현을 위한 자원 선정과 자원을 확보하는 능력이다. 
 인공지능서비스 애플리케이션 개발이란 비즈니스 로직을 구현하고 플랫폼, 모델을  연동하는 응용 소프트웨어를 개발하는 능력이다.
 인공지능서비스 안전성 검토란 인공지능서비스를 구현함에 있어 안전성을 위배하지 않도록 안전성 항목을 검토하고 결과서를 작성하는 능력이다.
 인공지능서비스 구현요건 분석이란 인공지능서비스의 목표, 요구사항, 성과평가 내용을 검토하여 실제 인공지능서비스를 구현하기 위해 필요한 인공지능서비스 플랫폼, 모델, 데이터, 인터페이스 개발 항목과 제약사항을 분석하는 능력이다.
 인공지능서비스 상위설계란 구현요건 분석 결과에 따라 인공지능서비스에 필요한 구성요소를 분석하여 인공지능서비스의 아키텍처, 인프라 및 애플리케이션을 설계하는 능력이다.
 인공지능서비스 테스트란 테스트 목표와 범위를 정의하고 이를 수행하기 위한 일정과 비용을 계획하여 통합, 성능, 신뢰성 테스트를 수행하는 능력이다.
 인공지능서비스 인터페이스 개발이란 인공지능서비스 구현을 위하여 사용자 인터페이스, 시스템 인터페이스와 같은 인공지능 인터페이스를 개발하고 테스트하여 사용성을 평가하는 능력이다.
 인공지능서비스 모델적용이란 인공지능서비스의 구현을 위하여 인공지능 모델을 애플리케이션에 적용하는 능력이다.
 인공지능서비스 상세설계란 인공지능서비스 상위설계에 따라 인공지능서비스 플랫폼, 모델, 데이터, 인터페이스를 정의하여 구성 요소별 적용방안을 설계하는 능력이다."
AI·개발·데이터,DBA,데이터베이스 관리자,CIE,45.4,59.3,43.8,44.6,45.2,66.8,X,"데이터 품질관리란 정보시스템 구축 시 데이터베이스 사용자 기대수준의 품질을 확보하기 위해 정책을 수립하고, 데이터 품질을 진단하고 개선하는 능력이다.
 SQL작성이란 관계형 데이터베이스에서 SQL을 사용하여 목적에 적합한 데이터를 조회하고 수정하는 능력이다.
 데이터 전환설계란 원천의 데이터베이스, 파일, 문서로부터 목적 데이터베이스 구축에 필요한 데이터를 추출하고 목적 시스템의 데이터 모델에 적합하게 변환, 정제하기 위한 계획을 수립하고 설계하는 능력이다.
 개념데이터 모델링이란 비즈니스 도메인에 대한 데이터 주제영역을 분류하고 핵심개체, 식별자, 핵심속성, 핵심관계를 도출하여 개념 E-R 다이어그램으로 표현하고 검증하는 능력이다.
 논리 데이터베이스 설계란 개념 데이터모델을 상세화 하여 비즈니스의 논리적인 데이터집합, 관리항목 및 관계 등 데이터 구조 및 규칙을 논리 E-R 다이어그램을 통해서 명확하게 표현하는 능력이다.
 SQL활용이란 관계형 데이터베이스에서 SQL을 사용하여 목적에 적합한 데이터를 정의하고, 조작하며, 제어하는 능력이다.
 데이터 표준화란 데이터베이스 설계와 구축 시에 필요한 데이터 정보 요소의 명칭, 정의, 형식, 규칙에 대한 정책을 수립하여 적용하는 능력이다.
 SQL응용이란 관계형 데이터베이스에서 SQL을 사용하여 응용시스템의 요구기능에 적합한 데이터를 정의하고, 조작하며, 제어하는 능력이다.
 데이터베이스 요구사항 분석이란 데이터베이스를 설계하고 구현하기 위해 최종사용자의 요구사항을 수집, 분석하고 정의하며, 각 단계의 산출물에 대하여 검증하는 능력이다.
 물리 데이터베이스 설계란 논리 데이터베이스 구조(스키마), 처리 요구 조건, 데이터베이스, 하드웨어, 운영 체제 특성을 기반으로 물리 데이터베이스의 저장 형식을 분석, 설계, 접근 경로를 물리적으로 설계하는 능력이다.
 데이터 전환이란 원천의 데이터베이스, 파일, 문서로부터 목적 데이터베이스 구축에 필요한 데이터를 추출하고 목적 시스템의 데이터 모델에 적합하게 변환, 정제하여 목적 데이터베이스에 적재한 후 그 결과를 검증하여 운영 가능한 데이터베이스를 구축하는 능력이다.
 데이터베이스 성능확보란 성능 상의 문제점을 분석하고 성능개선 목표를 설정하며 성능개선 수행 방법의 정의, 성능개선 수행, 성능개선 결과를 정량적으로 평가하며, 각 단계별 산출물 및 수행 활동을 규정하는 능력이다.
 데이터베이스 구현이란 설계된 데이터베이스 모델을 적용하기 위해 DBMS를 설치하고 데이터베이스와 데이터베이스 오브젝트를 생성하는 능력이다."
AI·개발·데이터,IT컨설팅,경영 컨설턴트; 컴퓨터 시스템 분석가,CIE,44.1,66.8,46.9,44.9,49.1,61.3,X,"정보기술 컨설팅 대상업무 개선방안 도출은 컨설팅 업무 수행을 위해 컨설팅대상 업무 분석을 바탕으로 운영조직, 업무프로세스 개선을 제안하고, 법제도에 따른 대응 방안을 도출하는 능력이다.
 정보기술 컨설팅 성과 측정은 컨설팅 성과 측정 계획을 수립하고, 컨설팅 성과를 측정 후 지속적인 모니터링을 통하여 컨설팅 수행 효과를 극대화하는 능력이다.
 정보시스템 인프라 분석은 정보기술 컨설팅을 수행하기 위해 조직의 정보시스템 인프라에 대한 기술적 구조와 현황을 파악하고, 개선사항을 식별하는 능력이다.
 정보기술 조직 경영환경 분석은 조직 내·외부의 경영 환경에 영향을 주는 고객과 경쟁기업, 산업 동향, 내부 역량을 분석하는 능력이다.
 정보시스템 개선방안 도출은 정보기술 컨설팅을 수행하기 위해 정보시스템 분석결과를 바탕으로 개선방안을 도출하는 능력이다.
 정보기술 조직 경영전략 분석은 조직의 경영목적을 달성하기 위하여 수행되는 포괄적인 수단으로, 필요한 내·외부 활동방향과 자원배분의 결정을 통한 환경적응 전략을 분석하는 능력이다.
 정보기술 컨설팅 수행 관리는 최적의 경영전략 및 정보기술 컨설팅 목표 달성을 위하여 일정계획 수립, 정보시스템 현황파악, 정보기술자문, 상담, 지도, 보고, 전달 및 기록 유지하는 능력이다.
 정보기술 컨설팅 목표 수립은  정보기술 컨설팅의 목표달성을 위하여 개선 항목을 도출하고, 정보기술 운영목표를 수정하며, 주요성과지표(KPI: Key Performance Indicator) 및 핵심성공요소(CSF: Critical Success Factor)를 도출할 수 있는 능력이다.
 정보시스템 분석은 정보기술 컨설팅을 수행하기 위해 조직의 정보시스템에 대한 기술적 구조와 현황을 파악하고, 개선사항을 식별하는 능력이다.
 정보기술 컨설팅 기획이란 정보기술 컨설팅이 대상 조직에 왜 필요한지 무엇을 하여야 하는지를 분석하기 위해 필요한 비즈니스 영역을 이해하고 정보기술 컨설팅 진행에 필요한 범위, 일정, 조직 그리고 방법론을 준비하는 능력이다.
 정보기술 컨설팅 대상업무 분석은 업무현황 파악과 문제점 식별을 위하여 컨설팅 범위에 해당하는 대상업무의 수행조직, 업무 절차, 관련 법제도 현황을 파악하고 선진사례를 비교분석하는 능력이다.
 정보시스템 애플리케이션 분석은 정보기술 컨설팅을 수행하기 위해 조직의 정보시스템 업무영역에 대한 소프트웨어 구성과 현황을 파악하고, 개선사항을 식별하는 능력이다."
AI·개발·데이터,MLOps엔지니어,소프트웨어 개발자; 데이터 사이언티스트; 데이터베이스 관리자,ICR,46.6,66.6,48.7,42.3,41.0,59.3,X,"인공지능 플랫폼 품질 관리란 인공지능 플랫폼의 품질 목표를 달성하기 위하여 품질 관리 계획을 수립하고, 수립된 계획에 따라 품질 보증 활동을 수행, 통제하는 능력이다.
 인공지능 활용 플랫폼 환경 구성이란 인공지능 플랫폼의 활용을 위하여 인공지능 플랫폼의 계정 정책을 설정하고, 외부자원을 활용하여 구성요소를 확보하는 능력이다.
 인공지능 플랫폼 활용 계획이란 내부에 보유하지 못한 외부 자원의 동향과 기술을 파악하여 활용범위를 확정한 뒤 비용 및 도입계획을 수립하는 능력이다.
 인공지능 플랫폼 지식화 구현이란 인공지능 플랫폼의 지속적 고도화를 위한 지식을 제공하기 위해 필요로 하는 데이터의 수집, 처리, 저장, 검증 기능을 구현하는 능력이다.
 인공지능 플랫폼 구축 계획이란 인공지능 플랫폼에 대한 서비스의 목표와 범위를 정의하고 이를 구축하기 위한 일정과 비용을 계획하는 능력이다.
 인공지능 플랫폼 요구사항 분석이란 인공지능 플랫폼 구축을 위한 요구사항을 정의하고 이를 명세화한 후 검증하는 능력이다.
 인공지능 플랫폼 설계란 인공지능 플랫폼 구현을 위한 인프라, 기능, 인터페이스, 지식화 구현을 설계하는 능력이다.
 인공지능 플랫폼 기능 구현이란 인공지능 플랫폼을 구축하기 위하여 기능 설계에 따라 학습, 추론, 인지, 모델링, 플랫폼 관리 기능을 구현하는 능력이다.
 인공지능 플랫폼 인터페이스 구현이란 인공지능 플랫폼을 구축하기 위하여 인터페이스 설계서에 따라 휴먼 머신 인터랙션, 내·외부 인터페이스를 구현하는 능력이다.
 인공지능 활용 플랫폼 유지 관리란 도입된 외부 자원이 서비스 수준에 적합한 기능을 발휘하고 효과적 연동을 통해 최적의 성능을 유지하도록 지속적으로 관리하는 능력이다.
 인공지능 플랫폼 인프라 구현이란 인공지능 플랫폼 구축을 위하여 인프라 설계에 따라 하드웨어, 소프트웨어, 네트워크 환경을 구현하는 능력이다."
AI·개발·데이터,QA,소프트웨어 품질보증 분석가 및 테스터,ICR,51.3,65.9,46.3,39.5,37.6,58.0,X,"IT품질관리계획 수립이란 전사조직 차원에서 중단기 IT품질관리 목표와 전략들을 수립하고 이를 달성하기 위한 이행과제들을 정의하고 과제이행을 위한 구체적인 소요자원, 추진체계, 추진일정 등을 수립하는 능력이다.
 SW품질 평가란 소프트웨어 개발 공정 각 단계에서 산출되는 소프트웨어 제품이 품질목표 수준을 만족하는지를 품질측정 및 평가모델, 측정기법, 평가프로세스를 활용하여 소프트웨어 제품을 정량적으로 평가하고 후속 조치하는 능력이다.
 IT프로세스이행 점검이란 IT표준프로세스 이행과 관련하여 조직의 IT표준절차 및 지침들을 적절히 따르는지를 점검하고 부적절한 이행사항들이 발견 시 시정조치를 위하여 이를 이해관계자들에게 전달하는 능력이다.
 IT시정조치 관리란 소프트웨어 제품 품질점검 및 IT프로세스이행 점검을 통하여 발견된 부적합사항들에 대하여 시정조치가 해당 조직들로부터 정상적으로 이루어질 수 있도록 관리하는 능력이다.
 IT표준프로세스 수립이란 목표로 하는 고품질의 IT제품 및 IT서비스를 제공하기 위하여 조직적 차원에서 IT프로세스들을 표준화하고 이와 관련된 절차서, 지침서들을 개발하여 전파함으로써 IT표준프로세스를 내재화하는 능력이다.
 IT품질관리활동 개선이란 조직적 차원에서 IT품질목표를 효과적으로 달성하고 지속적인 IT품질수준 향상을 위해 IT품질관리활동계획에 따라 수행된 IT품질관리활동들의 결과들을 객관적이고 정량적으로 평가 및 분석하여 개선점들을 찾아내어 IT품질관리활동체계를 개선하는 능력이다.
 IT품질 관리시스템 운영이란 IT품질 관리시스템에 대한 교육을 수행하고, 지속적으로 업무 변화에 맞도록 변경 관리를 통해 IT품질 관리시스템을 안정적으로 운영하는 능력이다.
 SW제품품질 점검이란 소프트웨어 개발 및 운영·유지보수의 중간산출물 또는 최종목적물들에 대하여 품질점검기준(체크리스트)에 의한 품질점검 활동을 수행하고 결함 및 시정조치 사항들을 제시하는 능력이다.
 IT품질관리 개선사항 도출이란 IT품질관리활동이 계획대로 수행되었는지 점검하고 개선사항들을 찾아내는 능력이다.
 IT품질 관리시스템 구축이란 IT품질관리를 효율적으로 수행하기 위하여 IT품질 관리시스템 요구사항을 분석하고, 적합한 IT품질 관리시스템을 선정하고 적용하는 능력이다.
 IT품질정책 수립이란 IT제품 및 IT서비스를 개발, 운영 및 유지보수하기 위한 전사적 품질경영시스템과 국내·외 IT품질표준에 부합하는 전사적인 차원의 중장기 IT품질관리 정책과 원칙들을 수립하고 관리하는 능력이다.
 IT품질보증계획 수립이란 IT개발조직에서 추진하고자 하는 IT제품 및 IT서비스에  대한 품질요구사항들을 분석하여 결과물, 추진단계, 단위활동의 각 수준에 대한 품질보증활동 전반에 대한 상세계획을 수립하고 이를 이해관계자와 협의하고 합의하는 능력이다.
 IT품질교육 관리란 고객에게 높은 품질의 IT제품 또는 IT서비스를 제공할 수 있도록 IT품질관리체계에 따라 개발·운영·유지보수 하는 담당자들에게 IT품질관련 교육훈련을 실시하고 관리하는 능력이다."
AI·개발·데이터,게임개발자,소프트웨어 개발자; 비디오게임 디자이너,ICA,48.6,60.8,63.6,43.5,45.7,48.0,X,"정보시스템 이행이란 개발자 환경에서 개발한 결과물을 운영 환경에 설치하고, 사용자 요구사항과 최종적으로 일치하는지에 대해 승인을 얻어 응용소프트웨어 결과물을 사용자에게 전달하여 인계하고 시스템을 운영할 수 있도록 교육하고 지원하는 능력이다.
 애플리케이션 배포란 애플리케이션 배포 환경을 구성하고, 구현이 완료된 애플리케이션의 소스 검증 후 빌드하여 운영 환경에 배포하는 능력이다.
 소프트웨어공학 활용이란 응용 소프트웨어 개발과 프로세스 적용 활동의 관련된 지식을  소프트웨어의 완전성을 보장하고, 소프트웨어 품질을 평가하기 위해 CASE 도구와 형상관리를 통해 소프트웨어 공학 기술을 적용하는 능력이다.
 데이터 입출력 구현이란 응용소프트웨어가 다루어야 하는 데이터 및 이들 간의 연관성, 제약조건을 식별하여 논리적으로 조직화하고, 소프트웨어 아키텍처에 기술된 데이터저장소에 조직화된 단위의 데이터가 저장될 최적화된 물리적 공간을 구성하고 데이터 조작언어를 이용하여 구현하는 능력이다.
 통합 구현이란 모듈 간의 분산이 이루어진 경우를 포함하여 단위 모듈 간의 데이터 관계를 분석하여 이를 기반으로 한 메커니즘을 통해 모듈 간의 효율적인 연계를 구현하고 검증하는 능력이다.
 인터페이스 구현이란 인터페이스 설계서를 확인하고, 인터페이스 설계서에 따라 기능을 구현하고 검증하는 능력이다.
 동적모델 설계란 요구사항 확인을 통한 상세 분석 결과, 소프트웨어 아키텍처 가이드라인 및 소프트웨어 아키텍처 산출물에 의거하여 애플리케이션 구현을 위한 동적모델을 설계하고 검증하는 능력이다.
 소프트웨어개발방법론 활용이란 응용소프트웨어 특성에 따라 정형화된 개발방법론을 선정하고, 프로젝트 특성에 맞도록 테일러링 하여 응용소프트웨어 개발에 활용하는 능력이다.
 애플리케이션 설계란 요구사항 확인을 통한 상세 분석 결과, 소프트웨어 아키텍처 가이드라인 및 소프트웨어 아키텍처 산출물에 의거하여 이에 따른 애플리케이션 구현을 수행하기 위해 공통모듈 설계, 타 시스템 연동에 대하여 상세 설계하는 능력이다.
 개발 환경 운영 지원이랑 응용소프트웨어 개발을 위하여 구축된 개발 환경을 백업·복원하고, 소스코드를 관리하는 능력이다.
 애플리케이션 요구사항 분석이란 구현하고자 하는 애플리케이션의 요구사항을 도출,  분석, 명세화 및 요구사항 검증을 수행하는 능력이다.
 화면 구현이란 UI 요구사항을 확인하여 설계한 UI 설계를 기반으로 화면을 구현하는 능력이다.
 정적모델 설계란 요구사항 확인을 통한 상세 분석 결과, 소프트웨어 아키텍처 가이드라인 및 소프트웨어 아키텍처 산출물에 의거하여 애플리케이션 구현을 위한 정적모델을 설계하고 검증하는 능력이다.
 응용SW 기초 기술 활용이란 응용소프트웨어 개발을 위하여 네트워크, 미들웨어, 데이터베이스의 기초 기술을 적용하는 능력이다.
 요구사항 확인이란 업무 분석가가 수집？분석？정의한 요구사항과 이에 따른 분석모델에 대해서 확인과 현행 시스템에 대해 분석하는 능력이다.
 애플리케이션 리팩토링이란 소스코드가 수행하는 기능을 유지하면서 코드 가독성 및 잠재적 결함을 제거하도록 코드를 개선하는 능력이다.
 애플리케이션 테스트 관리란 요구사항대로 응용소프트웨어가 구현되었는지를 검증하기 위해서 테스트케이스를 작성하고 개발자 통합 테스트를 수행하여 애플리케이션의 성능을 개선하는 능력이다.
 프로그래밍 언어 응용이란 응용소프트웨어 개발에 사용되는 프로그래밍 언어의 특징과 라이브러리를 활용하여 기본 응용소프트웨어를 구현하는 능력이다.
 제품소프트웨어 패키징이란 개발이 완료된 제품소프트웨어를 고객에게 전달하기 위한 형태로 패키징하고, 설치와 사용에 필요한 제반 절차 및 환경 등 전체 내용을 포함하는 매뉴얼을 작성하며, 제품소프트웨어에 대한 패치 개발과 업그레이드를 위해 버전관리를 수행하는 능력이다.
 프로그래밍 언어 활용이랑 응용소프트웨어 개발에 사용되는 프로그래밍 언어의 기본문법을 활용하여 기본 응용소프트웨어를 구현하는 능력이다.
 기능 모델링이란 애플리케이션 요구사항에 의해 도출, 분석된 내용을 애플리케이션의 기능으로 명세화하여 요구사항을 검증하고 소프트웨어 개발범위를 확정하는 능력이다.
 화면 설계란 요구사항분석 단계에서 파악된 화면에 대한 요구사항을 소프트웨어 아키텍처 단계에서 정의된 구현 지침 및 UI/UX 엔지니어가 제시한 UI표준과 지침에 따라 화면을 설계하는 능력이다.
 자료구조 활용이란 자료구조 유형별 특성을 고려하여 애플리케이션 구현과 정렬 및 탐색 알고리즘에 적합한 자료구조를 선정하여 활용하는 능력이다.
 서버프로그램 구현이란 애플리케이션 설계를 기반으로 개발에 필요한 환경을 구성하고, 프로그래밍 언어와 도구를 활용하여 공통모듈, 업무프로그램과 배치 프로그램을 구현하는 능력이다.
 인터페이스 설계란 응용소프트웨어 개발을 위해 정의된 시스템 인터페이스 요구사항을 확인하고 인터페이스 대상을 식별하여 인터페이스를 설계하는 능력이다.
 애플리케이션 테스트 수행이란 요구사항대로 응용소프트웨어가 구현되었는지를 검증하기 위해서 분석된 테스트 케이스에 따라 테스트를 수행하고 결함을 조치하는 능력이다.
 개발자 환경 구축이란 응용소프트웨어 개발을 위하여 운영체제의 기초 기술을 적용하여 응용소프트웨어 개발에 필요한 개발자 환경을 구축하는 능력이다."
AI·개발·데이터,네트워크엔지니어,컴퓨터 네트워크 설계자; 컴퓨터 네트워크 지원 전문가,CIR,53.4,60.7,45.9,44.4,45.7,54.1,X,"네트워크 토폴로지 설계란 네트워크 구성요소인 링크와 노드의 물리적, 논리적 연결성을 분석하고 장단점을 파악하여 네트워크 설계 요구사항을 충족시키는 네트워크 토폴로지를 설계하고 구축하는 능력이다.
 네트워크 환경 분석이란 시장의 니즈(needs)를 반영한 네트워킹 제품을 개발하기 위하여 기술 트렌드, 법제도를 포함한 거시적인 시장 상황, 경쟁환경 및 내부 역량을 분석하는 능력이다.
 네트워크 소프트웨어 아키텍처 수립이란 이해 당사자들의 요구를 충족시키고 네트워크상에 분산된 자원들을 이용하는 최적의 방법을 찾기 위해 소프트웨어 계층별 모델링과 시스템 아키텍처를 설계하고, 이를 구동하기 위한 플랫폼을 선정하는 능력이다.
 네트워크 자원관리 설계란 네트워크 구성요소의 자원을 파악하고 효율적으로 관리하기 위한 방안을 설계하고 실행하는 능력이다.
 네트워크 소프트웨어 개발 방법 수립이란 정보시스템 개발시 개발생산성을 향상시키고 고품질의 소프트웨어를 개발하기 위하여 작업활동, 절차, 산출물, 기법 등을 수립하는 능력이다.
 네트워크 QoS 수준 정의란 조직 특성에 따라 서비스 요구사항에 맞도록 네트워크 자원 및 트래픽(Traffic)을 효율적으로 관리할 수 있는 수준을 결정하는 능력이다.
 네트워크 품질 평가 계획이란 네트워크 제품의 품질 평가를 위한 계획을 수립하고, 품질 수준을 판정 및 이러한 활동을 종합적으로 관리하는 능력이다.
 네트워크 프로그래밍 구현이란 네트워크 프로그램을 구현하기 위하여 네트워크 개발환경을 구성하고 표준 개발도구를 활용하여 요구 기능과 QoS 제공방안을 구현하는 능력이다.
 네트워크 자원 분석이란 네트워크 구성요소의 자원을 파악하고 자원의 운영 효율을 분석하는 능력이다.
 네트워크 프로그램 최적화란 구현된 네트워크 프로그램을 테스트하여 프로그래밍 개발과정에서 발생할 수 있는 오류를 디버깅하여 프로그램을 최적화하는 능력이다.
 네트워크 QoS 제어 설계란 정의된 QoS 수준에 맞도록 네트워크 QoS 전략을 수립하고 제공방안과 제어기법을 설계하는 능력이다.
 프로토콜 패킷 분석이란 네트워크 프로토콜 분석 결과를 바탕으로 네트워크 패킷을 수집하고 문제점을 진단하여 개선 방향을 도출하는 능력이다.
 네트워크 프로토콜 설계란 네트워크 프로토콜 분석 결과를 바탕으로 네트워크 요구사항을 만족할 수 있는 신규 프로토콜을 제안하거나 표준화하는 능력이다.
 네트워크 프로젝트 관리란 프로젝트 준비, 시작, 실행, 종료의 일련의 과정을 진행하는 동안 인적 자원, 물적 자원, 시간적 자원을 효율적으로 관리하여 프로젝트를 성공적으로 달성하게 하는 능력이다.
 네트워크 프로토콜 분석이란 네트워크 프로토콜을 기술한 RFC(Request for Comments)와 네트워크에 대한 요구사항을 바탕으로 프로토콜의 연계 동작을 분석하는 능력이다.
 네트워크 품질 평가 실행이란 수립된 네트워크 품질계획에 따라 평가도구를 준비하고 평가하는 능력이다."
